beacon_id,rssi,timestamp

12334,40%,2025-11-28 16:29:08.895464

12334,40%,2025-11-29 14:58:21.007013


1234,12%,2025-12-04 16:12:54.858057

1234,12%,2025-12-04 16:13:01.929084

1234,12%,2025-12-04 16:13:11.690889

1234,12%,2025-12-04 16:13:18.765392

12334,-34,2025-12-04 16:29:54.842626
12334,-34,2025-12-04 16:43:36.298548
2f:05:19:e4:69:48,-64,2025-12-04 16:53:56.847676
2f:05:19:e4:69:48,-64,2025-12-04 16:54:04.161475
58:a4:03:4d:64:bc,-47,2025-12-04 16:54:04.435108
2f:05:19:e4:69:48,-64,2025-12-04 16:54:11.745519
58:a4:03:4d:64:bc,-48,2025-12-04 16:54:12.014830
2f:05:19:e4:69:48,-65,2025-12-04 16:54:19.480046
58:a4:03:4d:64:bc,-48,2025-12-04 16:54:19.747243
2f:05:19:e4:69:48,-68,2025-12-04 16:54:27.033635
58:a4:03:4d:64:bc,-47,2025-12-04 16:54:27.309954
2f:05:19:e4:69:48,-61,2025-12-04 16:54:34.586379
58:a4:03:4d:64:bc,-48,2025-12-04 16:54:34.942230
2f:05:19:e4:69:48,-62,2025-12-04 16:54:42.322184
2f:05:19:e4:69:48,-61,2025-12-04 16:54:49.688740
58:a4:03:4d:64:bc,-47,2025-12-04 16:54:49.995619
58:a4:03:4d:64:bc,-48,2025-12-04 16:54:57.264309
2f:05:19:e4:69:48,-64,2025-12-04 16:54:57.574026
2f:05:19:e4:69:48,-61,2025-12-04 16:55:04.909906
58:a4:03:4d:64:bc,-48,2025-12-04 16:55:05.254541
2f:05:19:e4:69:48,-84,2025-12-04 16:55:12.569938
58:a4:03:4d:64:bc,-49,2025-12-04 16:55:12.934492
58:a4:03:4d:64:bc,-48,2025-12-04 16:55:20.253980
2f:05:19:e4:69:48,-67,2025-12-04 16:55:21.136214
30:47:51:ba:fa:bb,-63,2025-12-04 17:03:53.731771
30:47:51:ba:fa:bb,-65,2025-12-04 17:04:00.998065
61:1e:19:28:3b:c7,-48,2025-12-04 17:04:01.357732
30:47:51:ba:fa:bb,-65,2025-12-04 17:04:08.728035
61:1e:19:28:3b:c7,-48,2025-12-04 17:04:09.058512
61:1e:19:28:3b:c7,-47,2025-12-04 17:04:16.589697
30:47:51:ba:fa:bb,-64,2025-12-04 17:04:16.865466
30:47:51:ba:fa:bb,-64,2025-12-04 17:04:24.135861
61:1e:19:28:3b:c7,-47,2025-12-04 17:04:24.420645
30:47:51:ba:fa:bb,-64,2025-12-04 17:04:31.700173
61:1e:19:28:3b:c7,-47,2025-12-04 17:04:31.966117
30:47:51:ba:fa:bb,-63,2025-12-04 17:04:39.267725
61:1e:19:28:3b:c7,-50,2025-12-04 17:04:39.525314
30:47:51:ba:fa:bb,-64,2025-12-04 17:04:46.851260
61:1e:19:28:3b:c7,-48,2025-12-04 17:04:48.241656
61:1e:19:28:3b:c7,-48,2025-12-04 17:04:55.554690
30:47:51:ba:fa:bb,-65,2025-12-04 17:04:55.826146
30:47:51:ba:fa:bb,-64,2025-12-04 17:05:03.184630
61:1e:19:28:3b:c7,-49,2025-12-04 17:05:03.500253
30:47:51:ba:fa:bb,-63,2025-12-04 17:05:10.813019
61:1e:19:28:3b:c7,-47,2025-12-04 17:05:11.079328
30:47:51:ba:fa:bb,-71,2025-12-04 17:05:18.388336
30:47:51:ba:fa:bb,-64,2025-12-04 17:05:25.679292
61:1e:19:28:3b:c7,-48,2025-12-04 17:05:25.944793
30:47:51:ba:fa:bb,-64,2025-12-04 17:05:33.241548
61:1e:19:28:3b:c7,-48,2025-12-04 17:05:33.506783
30:47:51:ba:fa:bb,-63,2025-12-04 17:05:40.812068
61:1e:19:28:3b:c7,-48,2025-12-04 17:05:41.077359
30:47:51:ba:fa:bb,-65,2025-12-04 17:05:48.478994
61:1e:19:28:3b:c7,-49,2025-12-04 17:05:48.861279
61:1e:19:28:3b:c7,-49,2025-12-04 17:05:56.236386
30:47:51:ba:fa:bb,-65,2025-12-04 17:05:56.543755
61:1e:19:28:3b:c7,-49,2025-12-04 17:06:03.857201
30:47:51:ba:fa:bb,-64,2025-12-04 17:06:04.324989
76:e9:ce:76:68:40,-99,2025-12-04 17:06:04.622725
4b:4e:e7:92:97:9a,-97,2025-12-04 17:06:04.888525
30:47:51:ba:fa:bb,-65,2025-12-04 17:06:12.161652
61:1e:19:28:3b:c7,-48,2025-12-04 17:06:12.419070
30:47:51:ba:fa:bb,-64,2025-12-04 17:06:19.729234
61:1e:19:28:3b:c7,-48,2025-12-04 17:06:19.996023
30:47:51:ba:fa:bb,-65,2025-12-04 17:06:27.375615
61:1e:19:28:3b:c7,-48,2025-12-04 17:06:27.643157
30:47:51:ba:fa:bb,-64,2025-12-04 17:06:35.262237
30:47:51:ba:fa:bb,-63,2025-12-04 17:06:42.573334
61:1e:19:28:3b:c7,-48,2025-12-04 17:06:49.857449
30:47:51:ba:fa:bb,-63,2025-12-04 17:06:50.134042
